type,dropout,middle layers,learning rate,10.0 epochs,20.0 epochs,30.0 epochs,40.0 epochs,50.0 epochs,60.0 epochs,70.0 epochs,80.0 epochs,90.0 epochs,100.0 epochs,110.0 epochs,120.0 epochs,130.0 epochs,140.0 epochs,150.0 epochs,160.0 epochs,170.0 epochs,180.0 epochs,190.0 epochs,200.0 epochs,210.0 epochs,220.0 epochs,230.0 epochs,240.0 epochs,250.0 epochs,260.0 epochs,270.0 epochs,280.0 epochs,290.0 epochs,300.0 epochs,310.0 epochs,320.0 epochs,330.0 epochs,340.0 epochs,350.0 epochs,360.0 epochs,370.0 epochs,380.0 epochs,390.0 epochs,400.0 epochs,410.0 epochs,420.0 epochs,430.0 epochs,440.0 epochs,450.0 epochs,460.0 epochs,470.0 epochs,480.0 epochs,490.0 epochs,500.0 epochs
training,0.2,2,0.001,0.601311939,0.598882403,0.598639454,0.598639454,0.598396506,0.598639454,0.598639454,0.598639454,0.601311965,0.600583094,0.601311956,0.604470364,0.605442183,0.608357634,0.608600599,0.610301265,0.614917406,0.61686102,0.619047616,0.625121474,0.626336251,0.627551019,0.629008761,0.633867834,0.641156478,0.645529653,0.650874632,0.648931001,0.653790091,0.649173958,0.659378043,0.672254613,0.681486871,0.687803694,0.671525751,0.697035968,0.695335286,0.715257525,0.726919327,0.738095241,0.733965014,0.745626816,0.745626816,0.75971818,0.774781338,0.759961128,0.779883385,0.787172019,0.784013595,0.773809518
validation,0.2,2,0.001,0.597667634,0.597667634,0.596209909,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.596209909,0.597667634,0.596209909,0.596209909,0.600583085,0.60204081,0.596209909,0.59912536,0.59912536,0.606413986,0.597667634,0.600583094,0.600583085,0.604956269,0.604956261,0.609329445,0.615160355,0.60787172,0.612244904,0.609329445,0.618075805,0.604956269,0.604956269,0.609329437,0.60787172,0.61078717,0.606413995,0.60787172,0.606413986,0.612244904,0.607871728,0.609329437,0.600583094,0.59329445,0.604956261,0.597667634,0.600583094,0.584548099,0.61661808,0.604956269,0.613702621,0.607871711
training,0.2,2,0.001,0.599368317,0.598882403,0.598882394,0.601068991,0.600826034,0.600340128,0.602283759,0.603498535,0.605685123,0.607142849,0.608114668,0.611758981,0.612973758,0.618318754,0.615160346,0.618561719,0.62050535,0.628036925,0.624392612,0.627065105,0.636783285,0.635568517,0.644557808,0.654761902,0.646015542,0.66958212,0.666909601,0.672983485,0.681729845,0.685860063,0.692662776,0.699222556,0.70165211,0.718658882,0.713070946,0.740281837,0.746355687,0.748542283,0.759961137,0.766277943,0.78036929,0.778911565,0.788872685,0.788143831,0.797619053,0.797619045,0.795189508,0.804421774,0.822886305,0.811224486
validation,0.2,2,0.001,0.596209909,0.597667634,0.597667634,0.600583085,0.600583085,0.59912536,0.600583085,0.600583085,0.600583085,0.59912536,0.60204081,0.60204081,0.60204081,0.603498544,0.603498535,0.604956261,0.600583085,0.606413986,0.603498535,0.606413995,0.609329454,0.603498535,0.609329445,0.607871711,0.610787162,0.61078717,0.609329437,0.613702621,0.609329445,0.613702621,0.60787172,0.616618071,0.607871711,0.618075805,0.618075797,0.620991247,0.620991247,0.618075805,0.61078717,0.619533522,0.622448981,0.619533522,0.631195332,0.613702621,0.615160346,0.623906706,0.616618071,0.625364431,0.612244904,0.61953353
training,0.2,3,0.01,0.597667634,0.59815354,0.597910583,0.59815354,0.598396497,0.598639454,0.598639454,0.598396497,0.598639454,0.599611274,0.598396497,0.598882403,0.600340136,0.598882411,0.604713312,0.599854222,0.598396497,0.598639454,0.598882411,0.600340136,0.600340136,0.603498544,0.598639454,0.602769681,0.59912536,0.601554905,0.59912536,0.599368317,0.600097179,0.602283767,0.60398445,0.60301263,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.599368317,0.599611265,0.603984441,0.598882403,0.598882403,0.598882403,0.598882403,0.598882403
validation,0.2,3,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.597667634,0.603498535,0.597667634,0.597667634,0.597667634,0.59912536,0.59912536,0.597667634,0.60204081,0.597667634,0.603498535,0.597667634,0.59912536,0.597667634,0.597667634,0.59912536,0.59912536,0.603498535,0.600583085,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.60204081,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.2,3,0.001,0.59912536,0.597910592,0.598153549,0.597667634,0.597667634,0.597667634,0.597910583,0.59815354,0.598396497,0.59912536,0.598639454,0.598639454,0.601068991,0.601554905,0.606171037,0.608357634,0.608114677,0.608600582,0.609572394,0.613216715,0.614917389,0.615160346,0.619047625,0.619776487,0.626093302,0.636540336,0.634596688,0.644800774,0.654033048,0.659863949,0.656705541,0.668124395,0.671039845,0.707968899,0.707240037,0.715014585,0.732993186,0.736880464,0.734207971,0.746598644,0.759961128,0.76870748,0.774538389,0.800534495,0.801749272,0.800534495,0.817298353,0.787657917,0.808551984,0.828474241
validation,0.2,3,0.001,0.596209909,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.600583085,0.59912536,0.600583085,0.59912536,0.60204081,0.603498535,0.60204081,0.59912536,0.59912536,0.603498535,0.604956261,0.59912536,0.597667634,0.600583085,0.600583094,0.603498535,0.60787172,0.606414003,0.606413986,0.620991247,0.616618071,0.615160346,0.604956261,0.613702629,0.610787162,0.603498527,0.61078717,0.61078717,0.609329445,0.60787172,0.61078717,0.612244887,0.609329445,0.61953353,0.619533522,0.597667634,0.629737607,0.612244896,0.612244904,0.597667643
training,0.2,3,0.001,0.597910592,0.598153549,0.597910592,0.597910592,0.597910592,0.59815354,0.598396497,0.59815354,0.59815354,0.59815354,0.598639446,0.600826034,0.600097179,0.60204081,0.604227398,0.60204081,0.609086479,0.610058308,0.618561711,0.622691929,0.629008736,0.633138963,0.640913504,0.652575306,0.64431486,0.660349846,0.661321666,0.671768708,0.668124386,0.680758008,0.672254622,0.686588917,0.703595723,0.706997071,0.725947533,0.724003885,0.725947516,0.738338198,0.753644313,0.743926142,0.745383867,0.758746343,0.782312913,0.803692903,0.827988335,0.824344013,0.839650137,0.834791064,0.851311939,0.851311948
validation,0.2,3,0.001,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.600583085,0.594752184,0.59912536,0.600583085,0.59912536,0.60204081,0.600583085,0.603498535,0.600583085,0.596209909,0.597667634,0.59329445,0.590379,0.596209909,0.584548107,0.597667634,0.584548107,0.580174923,0.596209918,0.588921283,0.586005832,0.580174923,0.596209918,0.584548099,0.57434403,0.588921283,0.583090373,0.596209918,0.577259464,0.583090382,0.591836733,0.59912536,0.587463549,0.596209909,0.618075797,0.591836725,0.610787162,0.606413995,0.626822148
training,0.4,1,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910583,0.597910583,0.597910583,0.59815354,0.59815354,0.597910592,0.59815354,0.59815354,0.59815354,0.59815354,0.59815354,0.598396489,0.598396489,0.598396489,0.598396489,0.59815354,0.59815354,0.59815354,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598153532,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489,0.598396489
validation,0.4,1,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.4,1,0.001,0.59329445,0.596695815,0.597910592,0.598396497,0.598396497,0.59815354,0.59815354,0.59815354,0.59815354,0.59815354,0.598396497,0.598396497,0.597667634,0.597910592,0.597667634,0.597667634,0.59815354,0.59815354,0.598639437,0.598639437,0.598396489,0.598639446,0.598639446,0.598882403,0.600097171,0.599611265,0.599854222,0.60204081,0.602769673,0.60398445,0.605199209,0.605199218,0.604470364,0.604956261,0.606413995,0.607142857,0.60592808,0.610301248,0.606413995,0.61078717,0.611516033,0.613702629,0.616132166,0.613702621,0.623177852,0.622691938,0.627065122,0.624149655,0.625364431,0.627551019
validation,0.4,1,0.001,0.590379008,0.600583085,0.596209909,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.600583085,0.600583085,0.60204081,0.600583085,0.603498535,0.60204081,0.603498535,0.600583085,0.604956261,0.59912536,0.603498535,0.60204081,0.604956261,0.603498535,0.60204081,0.60204081,0.603498535,0.600583085,0.59912536,0.604956261,0.600583085,0.604956261,0.604956261
training,0.4,1,0.001,0.59329445,0.60204081,0.599125368,0.59912536,0.598882403,0.598882403,0.598882403,0.59912536,0.59912536,0.599611265,0.599611265,0.600097179,0.599854222,0.600583085,0.600826042,0.601797853,0.601554896,0.602526716,0.602769664,0.60204081,0.601311948,0.603498535,0.604956261,0.603255578,0.603498535,0.606413995,0.608357625,0.608600582,0.608357625,0.608843531,0.610301256,0.610058308,0.611273084,0.61467444,0.615889209,0.615403312,0.618804668,0.617589891,0.620019436,0.619776487,0.626822157,0.624635569,0.62536444,0.6265792,0.632653058,0.635082603,0.637998062,0.631924203,0.633138972,0.635568517
validation,0.4,1,0.001,0.593294467,0.60204081,0.60204081,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.597667634,0.59912536,0.59912536,0.59912536,0.600583085,0.600583085,0.600583085,0.600583085,0.60204081,0.60204081,0.600583085,0.600583085,0.603498544,0.599125368,0.602040819,0.602040819,0.603498544,0.604956269,0.606413995,0.604956269,0.60787172,0.60787172,0.60787172,0.60787172,0.60787172,0.612244896,0.61078717,0.61078717,0.60787172,0.60787172,0.613702621,0.60787172,0.612244896,0.606413995,0.606413995,0.606413995,0.61078717,0.60787172,0.604956269,0.60787172,0.604956269
training,0.4,2,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910592,0.597910592,0.597910592,0.597667634,0.597910592,0.597667634,0.598153549,0.597667634,0.598639454,0.598153549,0.601797862,0.597910592,0.597910592,0.597910592,0.597910592,0.59815354,0.597910592,0.598396497,0.598396497,0.598396497,0.598396497,0.598396497,0.598396497,0.59815354,0.598396497,0.598396497,0.598639454,0.598639454,0.598639454,0.598639454,0.598396497,0.598396497,0.59815354,0.59912536,0.598882403,0.59912536,0.598882403,0.59815354,0.59815354,0.59815354,0.59815354,0.59815354,0.59815354,0.59815354
validation,0.4,2,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.60204081,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.596209909,0.597667634,0.597667634,0.597667634,0.59912536,0.59912536,0.59912536,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.4,2,0.001,0.599368308,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.59815354,0.597910592,0.597667634,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.59815354,0.59815354,0.598639446,0.599125351,0.600340128,0.601797853,0.59912536,0.601797853,0.601311939,0.601554896,0.601068991,0.601068991,0.602526716,0.601311939,0.603255578,0.603498527,0.606656935,0.602769664,0.606171029
validation,0.4,2,0.001,0.594752184,0.597667634,0.599125368,0.599125368,0.599125368,0.599125368,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.59912536,0.59912536,0.59912536,0.59912536,0.59912536,0.59912536,0.597667634,0.600583085,0.59912536,0.600583085,0.59912536,0.59912536,0.59912536,0.600583085,0.600583085,0.59912536,0.59912536,0.59912536,0.600583085,0.600583085,0.60204081,0.600583085
training,0.4,2,0.001,0.597910592,0.597910592,0.59815354,0.597910583,0.597910583,0.59815354,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.597667634,0.597667634,0.597667634,0.597910583,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910592,0.597910592,0.597910592,0.598153549,0.598396497,0.598396497,0.598882411,0.600097188,0.600097188,0.600340136,0.601068991,0.602283767,0.60204081,0.603012621,0.601554905,0.603012621,0.605442166,0.6068999,0.604713304,0.603498535,0.607628754
validation,0.4,2,0.001,0.599125368,0.599125368,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.59912536,0.597667634,0.600583085,0.597667634,0.60204081,0.603498535,0.59912536,0.603498535,0.603498535
training,0.4,3,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
validation,0.4,3,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.4,3,0.001,0.59718172,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.598396497,0.597910592,0.598396497,0.59912536,0.598882403,0.599854222,0.600097179,0.600826042,0.60204081,0.60301263,0.600583085,0.6068999,0.602283767,0.603498535,0.60204081,0.604470355
validation,0.4,3,0.001,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.597667634,0.597667634,0.597667634,0.59912536
training,0.4,3,0.001,0.598153549,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
validation,0.4,3,0.001,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
